reason_for_visit,symptoms,symptom_type
exposure to mold,cough sneezing watery eyes,Respiratory
respiratory infection symptoms,cannot get my breath chest feels tight coughing wheezing,Respiratory
sinus infection,cough congestion sinus pressure,Respiratory
difficulty breathing and wheezing,difficulty breathing wheezing coughing,Respiratory
bronchitis symptoms,cough phlegm production chest pain,Respiratory
chest pain and chronic cough,coughing chest pain cannot get enough air feeling winded difficulty breathing,Respiratory
cough and chest pain,coughing chest pain difficulty breathing,Respiratory
chest pain and coughing,chest pain coughing difficulty breathing,Respiratory
pneumonia symptoms,cough fever difficulty breathing chest pain,Respiratory
following up on chronic bronchitis symptoms,cannot catch my breath chest feels heavy coughing wheezing difficulty breathing,Respiratory
seeking treatment for chronic cough and chest pain,coughing chest pain cannot get enough air feeling winded difficulty breathing,Respiratory
bronchitis symptoms,cough phlegm production chest pain,Respiratory
exposure to allergens,cough sneezing watery eyes,Respiratory
respiratory distress,cannot catch my breath chest feels heavy coughing wheezing,Respiratory
chronic bronchitis symptoms,coughing chest pain difficulty breathing fatigue,Respiratory
chronic cough and chest pain,coughing chest pain cannot get enough air feeling winded difficulty breathing,Respiratory
breathing problems,cough wheezing difficulty breathing,Respiratory
chronic bronchitis symptoms,coughing chest pain difficulty breathing fatigue,Respiratory
wheezing and difficulty breathing,wheezing difficulty breathing coughing,Respiratory
bronchitis flareup,coughing chest pain difficulty breathing fatigue,Respiratory
checking in on chronic bronchitis symptoms,cannot get my breath chest feels tight coughing wheezing,Respiratory
shortness of breath and chest pain,shortness of breath chest pain coughing,Respiratory
chronic cough,cough chest pain phlegm production,Respiratory
chest pain and difficulty breathing,chest pain difficulty breathing coughing,Respiratory
sinus infection,cough congestion sinus pressure,Respiratory
chest pain and chronic cough,coughing chest pain cannot get enough air feeling winded difficulty breathing,Respiratory
difficulty breathing,shortness of breath coughing wheezing,Respiratory
respiratory issues,cannot get my breath chest feels tight coughing wheezing,Respiratory
respiratory problems,cannot catch my breath chest feels heavy coughing wheezing,Respiratory
chest pain,cough shortness of breath chest pain,Respiratory
coughing and wheezing,cough wheezing difficulty breathing,Respiratory
allergy,cough congestion watery eyes,Respiratory
exerciseinduced asthma,cough wheezing shortness of breath,Respiratory
chronic cough,coughing chest pain difficulty breathing fatigue,Respiratory
seeking treatment for chronic cough and chest pain,coughing chest pain cannot get enough air feeling winded difficulty breathing shortness of breath,Respiratory
difficulty breathing,shortness of breath coughing wheezing,Respiratory
sore throat,sore throat coughing congestion,Respiratory
difficulty breathing,shortness of breath coughing wheezing,Respiratory
bronchitis symptoms,coughing chest pain difficulty breathing fatigue,Respiratory
smoke inhalation,cough chest pain difficulty breathing,Respiratory
exposure to chemicals,cough sneezing watery eyes,Respiratory
seeking treatment for chronic cough and chest pain,coughing chest pain cannot get enough air feeling winded difficulty breathing,Respiratory
pet dander allergy,cough sneezing watery eyes,Respiratory
cough and chest pain,cough chest pain fever,Respiratory
respiratory symptoms,cannot catch my breath chest feels heavy coughing wheezing,Respiratory
